# exp dg
-1.550018808000004356e-01 -7.418816931328484632e-01
-1.550018808000004356e-01 -5.612654772138085946e-01
1.907715456000000920e-01 -4.458684951061044899e-01
-6.021226908000003597e-01 -4.673724750072816292e-01
-2.146179888000001590e-01 7.735847614724278287e-02
