1.000000000000000000e+00 1.698735010636476872e+01
2.000000000000000000e+00 8.403638900351845464e+00
3.000000000000000000e+00 5.673828931458651859e+00
4.000000000000000000e+00 4.256961009398699147e+00
5.000000000000000000e+00 3.395015004144665394e+00
6.000000000000000000e+00 2.804854302043444658e+00
7.000000000000000000e+00 2.403234361361139104e+00
8.000000000000000000e+00 2.126404638196280672e+00
9.000000000000000000e+00 1.880264181802076662e+00
1.000000000000000000e+01 1.710277358351020904e+00
1.100000000000000000e+01 1.549642418407613631e+00
1.200000000000000000e+01 1.419491251752093008e+00
1.300000000000000000e+01 1.319019946693022138e+00
1.400000000000000000e+01 1.209852496440442682e+00
1.500000000000000000e+01 1.119058766578115982e+00
1.600000000000000000e+01 1.052737782144762324e+00
1.700000000000000000e+01 9.969510737262521349e-01
1.800000000000000000e+01 9.374008947452289187e-01
1.900000000000000000e+01 8.897747602805106126e-01
2.000000000000000000e+01 8.408229907690276672e-01
2.100000000000000000e+01 8.098491730663196497e-01
2.200000000000000000e+01 7.694608861410091594e-01
2.300000000000000000e+01 7.326636443719501957e-01
2.400000000000000000e+01 7.084857233236577789e-01
2.500000000000000000e+01 6.757503446197158370e-01
